EndDate,Almost always,Occasionally,Seldom,To a considerable degree,NA_
6/22/2020,4,0,0,7,2
6/23/2020,8,2,0,6,1
6/24/2020,6,0,0,4,0
6/25/2020,7,3,1,4,0
6/26/2020,4,0,0,3,0
7/1/2020,1,0,0,0,0
