EndDate,Almost always,Occasionally,To a considerable degree,NA_
6/22/2020,4,0,7,2
6/23/2020,9,1,6,1
6/24/2020,6,0,4,0
6/25/2020,10,2,3,0
6/26/2020,5,1,1,0
7/1/2020,1,0,0,0
